"Collection.code"	"Collected.by"	"DateCollected.Start."	"Locality.Name"	"District"	"State.Prov"	"Country"	"LocLatitude"	"LocLongitude"	"X.Species.Genus"	"Species.groups"	"SpeciesName"
"NMH001113"	"N. Macías & M. Rezac"	"3/1/2006"	"Barranco de los Cochinos. Monte del Agua"	"Los Silos"	"Tenerife"	"Canary Islands"	28.32455	-16.81944	"Dysdera"	"Western Canarian"	"verneaui"
"NMH001441"	"N. Macías & S. de la Cruz"	"9/26/2008"	"Barranco de los Cochinos. Monte del Agua"	"Los Silos"	"Tenerife"	"Canary Islands"	28.32455	-16.81944	"Dysdera"	"Western Canarian"	"verneaui"
"CRBA002948"	"Arnedo & Bellvert"	"3/26/2017"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000079"	"M. Arnedo"	"4/29/2004"	"Cruz del Carmen (Sendero restaurante)"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.531925	-16.279999	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000084"	"M. Arnedo"	"4/29/2004"	"Cruz del Carmen (Sendero restaurante)"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.531925	-16.279999	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000092"	"N. Macías"	"4/29/2004"	"Cruz del Carmen (Sendero restaurante)"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.531925	-16.279999	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000680"	"N. Macías"	"4/29/2006"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000683"	"N. Macías"	"4/29/2006"	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000759"	"N. Macías"	"5/10/2006"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000760"	"N. Macías"	"5/10/2006"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000763"	"N. Macías"	"5/10/2006"	"Pista El Batán-Cruz del Carmen"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.53532	-16.2968	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000791"	"N. Macías"	"5/24/2006"	"Cruz del Carmen (Sendero restaurante)"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.531925	-16.279999	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000809"	"P. Oromí"	"5/1/2006"	"Las Lagunetas"	"El Rosario"	"Tenerife"	"Canary Islands"	28.418535	-16.41009	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000810"	"P. Oromí"	"5/1/2006"	"Las Lagunetas"	"El Rosario"	"Tenerife"	"Canary Islands"	28.418535	-16.41009	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000816"	"N. Macías"	""	"Pista Las Hiedras-Las Carboneras"	"San Cristóbal de La Laguna"	"Tenerife"	"Canary Islands"	28.5356	-16.29881	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000820"	"N. Macías"	"12/22/2006"	"Morada del Viento (Pista Siete Fuentes). Las Lagunetas"	"El Rosario"	"Tenerife"	"Canary Islands"	28.41118	-16.421127	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000821"	"N. Macías"	"12/22/2006"	"Morada del Viento (Pista Siete Fuentes). Las Lagunetas"	"El Rosario"	"Tenerife"	"Canary Islands"	28.41118	-16.421127	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000829"	"N. Macías"	"12/22/2006"	"Torre del Gaitero"	"Arafo"	"Tenerife"	"Canary Islands"	28.394697	-16.431984	"Dysdera"	"Western Canarian"	"verneaui"
"NMH000830"	"N. Macías"	"12/22/2006"	"Torre del Gaitero"	"Arafo"	"Tenerife"	"Canary Islands"	28.394697	-16.431984	"Dysdera"	"Western Canarian"	"verneaui"
